s_id,s_nm,s_tenabili,s_wno,s_hh,s_pop,s_zno,s_addr,s_lat,s_lon,u_id,u_zno,u_wno,u_nm,u_addr,u_lat,u_lon,qneat_dist
S2-16-15,"Sadayan Kuppam , St Colony",Tenable,16,40,136,2,"Sadayan Kuppam , St Colony, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1842451,80.2837727,UPHC3,1,4,Kuppam,"Urban Primary Health Centre, Kuppam, No 1; School Street; Jothi Nagar; Thiruvottiyur;  Chennai  19",13.1796056,80.3004716,2325.546963
S1-4-43,Ernavoor,Tenable,4,178,616,1,"Ernavoor, Ward 4, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1895685,80.3039002,UPHC3,1,4,Kuppam,"Urban Primary Health Centre, Kuppam, No 1; School Street; Jothi Nagar; Thiruvottiyur;  Chennai  19",13.1796056,80.3004716,1647.715808
S1-9-117,Pattinathar Koil,Tenable,9,928,3201,1,"Pattinathar Koil, Ward 9, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1629918,80.3048291,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,786.1228968
S1-9-114,Appar Nagar,Tenable,9,279,770,1,"Appar Nagar, Ward 9, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1640671,80.308079,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,1136.684835
S1-7-89,Nehru Nagar,Tenable,7,81,286,1,"Nehru Nagar, Ward 7, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1648588,80.2913625,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,2002.239639
S1-8-108,"T S R Nagar , Ottaraivadai Street",Tenable,8,180,666,1,"T S R Nagar , Ottaraivadai Street, Ward 8, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1659149,80.305119,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,430.2388583
S1-5-62,Thiru Nagar,Tenable,5,181,701,1,"Thiru Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1697161,80.3066861,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,508.7848173
S1-5-61,Thiruvalluvar Nagar,Tenable,5,151,533,1,"Thiruvalluvar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1769492,80.3094719,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,1595.847232
S1-5-55,Sakthipuram,Tenable,5,185,707,1,"Sakthipuram, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1794308,80.3091237,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,1589.267372
S1-5-56,Poompuhar Nagar,Tenable,5,197,753,1,"Poompuhar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1813315,80.3075567,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,1540.172138
S1-5-60,Dr.Ambedkar Nagar,Tenable,5,339,1198,1,"Dr.Ambedkar Nagar, Ward 5, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1823063,80.3075275,UPHC4,1,11,Thiruvottiyur,"Urban Primary Health Centre, Thiruvottiyur, No 945; Thiruvottiyur High Road; Chennai  19",13.1683574,80.3045848,1659.320078
S1-14-140,Thiyagarayapuram,Tenable,14,1317,4693,1,"Thiyagarayapuram, Ward 14, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1480724,80.2997212,UPHC6,1,14,Thangal,"Urban Primary Health Centre, Thangal, No 3 2; Poongavanapuram; Kaladipet; Thiruvottiyur; Chennai  19",13.152677,80.2951065,1066.098156
S1-11-127,Poongavanapuram,Tenable,11,488,1867,1,"Poongavanapuram, Ward 11, THIRUVOTRIYUR, Chennai, Tamil Nadu, India",13.1527116,80.3023221,UPHC6,1,14,Thangal,"Urban Primary Health Centre, Thangal, No 3 2; Poongavanapuram; Kaladipet; Thiruvottiyur; Chennai  19",13.152677,80.2951065,933.0619893
S3-29-53,Kakkanpuram,Tenable,29,72,319,3,"Kakkanpuram, Ward 29, MADHAVARAM, Chennai, Tamil Nadu, India",13.1516065,80.2614037,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1878.690253
S3-29-55,"Chinna Sekadu , Chandramman Koil",Tenable,29,50,206,3,"Chinna Sekadu , Chandramman Koil, Ward 29, MADHAVARAM, Chennai, Tamil Nadu, India",13.1605,80.2587034,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,372.5993292
S3-28-51,Periya Sekkadu,Tenable,28,21,72,3,"Periya Sekkadu, Ward 28, MADHAVARAM, Chennai, Tamil Nadu, India",13.1618972,80.2509504,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1141.440402
S2-20-45,Chinnakannu Street,Tenable,20,19,70,2,"Chinnakannu Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1664375,80.2532644,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,748.8669216
S2-20-41,Balaraman Street,Untenable,20,118,526,2,"Balaraman Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1686854,80.2536231,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1037.762204
S2-20-47,Rajiv Gandhi Street,Tenable,20,23,74,2,"Rajiv Gandhi Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1691983,80.2552951,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,931.0010879
S2-18-34,SR.C.V.Raman Street,Tenable,18,54,200,2,"SR.C.V.Raman Street, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1693546,80.2623907,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1070.674725
S2-19-40,Periyamathur,Tenable,19,238,956,2,"Periyamathur, Ward 19, MANALI, Chennai, Tamil Nadu, India",13.1701327,80.245782,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1805.267225
S2-19-35,Omakulam,Tenable,19,64,231,2,"Omakulam, Ward 19, MANALI, Chennai, Tamil Nadu, India",13.1703701,80.2415787,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,2327.708568
S2-20-46,M.G.R.Street,Tenable,20,21,76,2,"M.G.R.Street, Ward 20, MANALI, Chennai, Tamil Nadu, India",13.1722935,80.2557751,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1110.146134
S2-18-28,Ekambaram Street,Untenable,18,65,258,2,"Ekambaram Street, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1727755,80.2610868,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1352.305005
S2-18-33,CPCL Nagar,Tenable,18,361,1328,2,"CPCL Nagar, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1734585,80.2551319,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1293.504444
S2-18-30,Harikrishnapuram,Untenable,18,128,495,2,"Harikrishnapuram, Ward 18, MANALI, Chennai, Tamil Nadu, India",13.1744102,80.2614037,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,1827.013804
S2-17-16,Kossapur Colony Area I,Tenable,17,188,678,2,"Kossapur Colony Area I, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.184242,80.2365982,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,4976.435568
S2-17-18,Kossapur Area II,Tenable,17,88,307,2,"Kossapur Area II, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.184242,80.2365982,UPHC7,2,21,Manali,"Urban Primary Health Centre, Manali, No 1 Nedunchezian Salai; Manali Chennai  68",13.1635785,80.2586088,4976.435568
S2-16-9,"Kanniyamman Pettai ,Colony",Tenable,16,126,460,2,"Kanniyamman Pettai ,Colony, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1948404,80.2551319,UPHC8,2,15,Manali New Town,"Urban Primary Health Centre, Manali New Town, 15 T Main Road; 58th Block; Manali New Town; Chennai  103",13.2013779,80.2690808,3016.913041
S2-16-12,Kanniyamman pettai,Tenable,16,172,632,2,"Kanniyamman pettai, Ward 16, MANALI, Chennai, Tamil Nadu, India",13.1948404,80.2551319,UPHC8,2,15,Manali New Town,"Urban Primary Health Centre, Manali New Town, 15 T Main Road; 58th Block; Manali New Town; Chennai  103",13.2013779,80.2690808,3016.913041
S2-17-22,Theeyambakkam,Tenable,17,89,324,2,"Theeyambakkam, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.1966201,80.2350707,UPHC8,2,15,Manali New Town,"Urban Primary Health Centre, Manali New Town, 15 T Main Road; 58th Block; Manali New Town; Chennai  103",13.2013779,80.2690808,5501.632177
S2-15-2,Old Napalayam,Tenable,15,325,1214,2,"Old Napalayam, Ward 15, MANALI, Chennai, Tamil Nadu, India",13.2258456,80.2735228,UPHC8,2,15,Manali New Town,"Urban Primary Health Centre, Manali New Town, 15 T Main Road; 58th Block; Manali New Town; Chennai  103",13.2013779,80.2690808,2835.015844
S2-15-3,New Napalayam,Tenable,15,190,676,2,"New Napalayam, Ward 15, MANALI, Chennai, Tamil Nadu, India",13.2264835,80.2737295,UPHC8,2,15,Manali New Town,"Urban Primary Health Centre, Manali New Town, 15 T Main Road; 58th Block; Manali New Town; Chennai  103",13.2013779,80.2690808,2888.537516
S3-25-17,Mathew Street,Tenable,25,85,232,3,"Mathew Street, Ward 25, MADHAVARAM, Chennai, Tamil Nadu, India",13.1523503,80.2079485,UPHC9,3,22,Puzhal,"Urban Primary Health Centre, Puzhal, Gandhi Street; Puzhal;  Chennai  66",13.164815,80.2048379,2071.935002
S3-22-3,Kavangarai,Tenable,22,293,1148,3,"Kavangarai, Ward 22, MADHAVARAM, Chennai, Tamil Nadu, India",13.1705476,80.1954051,UPHC9,3,22,Puzhal,"Urban Primary Health Centre, Puzhal, Gandhi Street; Puzhal;  Chennai  66",13.164815,80.2048379,1526.216566
S3-22-2,Kannappasamy Nagar,Tenable,22,357,1333,3,"Kannappasamy Nagar, Ward 22, MADHAVARAM, Chennai, Tamil Nadu, India",13.1718526,80.1944807,UPHC9,3,22,Puzhal,"Urban Primary Health Centre, Puzhal, Gandhi Street; Puzhal;  Chennai  66",13.164815,80.2048379,1661.127614
S2-17-25,Ariyalur Gramam,Tenable,17,98,371,2,"Ariyalur Gramam, Ward 17, MANALI, Chennai, Tamil Nadu, India",13.1803135,80.229343,UPHC9,3,22,Puzhal,"Urban Primary Health Centre, Puzhal, Gandhi Street; Puzhal;  Chennai  66",13.164815,80.2048379,4309.174809
S3-33-76,Ponniyamman Medu,Tenable,33,36,129,3,"Ponniyamman Medu, Ward 33, MADHAVARAM, Chennai, Tamil Nadu, India",13.1349662,80.2274201,UPHC10,3,26,Madhavaram,"Urban Primary Health Centre, Madhavaram, No 47; Swamy Nagar Madhavaram; Chennai  60",13.1471925,80.2296915,1638.086298
S3-31-66,Ambedkar Nagar,Tenable,31,384,1504,3,"Ambedkar Nagar, Ward 31, MADHAVARAM, Chennai, Tamil Nadu, India",13.1363254,80.2334578,UPHC10,3,26,Madhavaram,"Urban Primary Health Centre, Madhavaram, No 47; Swamy Nagar Madhavaram; Chennai  60",13.1471925,80.2296915,1747.703473
S3-33-83,G.N.T.Road,Tenable,33,80,280,3,"G.N.T.Road, Ward 33, MADHAVARAM, Chennai, Tamil Nadu, India",13.1381167,80.2290164,UPHC10,3,26,Madhavaram,"Urban Primary Health Centre, Madhavaram, No 47; Swamy Nagar Madhavaram; Chennai  60",13.1471925,80.2296915,1264.019822
S3-31-62,Udayar Thottam,Tenable,31,378,1455,3,"Udayar Thottam, Ward 31, MADHAVARAM, Chennai, Tamil Nadu, India",13.140254,80.2345711,UPHC10,3,26,Madhavaram,"Urban Primary Health Centre, Madhavaram, No 47; Swamy Nagar Madhavaram; Chennai  60",13.1471925,80.2296915,1404.780891
S3-31-57,Kannapiran street,Tenable,31,242,960,3,"Kannapiran street, Ward 31, MADHAVARAM, Chennai, Tamil Nadu, India",13.14118,80.2328613,UPHC10,3,26,Madhavaram,"Urban Primary Health Centre, Madhavaram, No 47; Swamy Nagar Madhavaram; Chennai  60",13.1471925,80.2296915,1148.97498
S3-26-46,Seethapathy Street,Tenable,26,64,222,3,"Seethapathy Street, Ward 26, MADHAVARAM, Chennai, Tamil Nadu, India",13.1482486,80.2285541,UPHC10,3,26,Madhavaram,"Urban Primary Health Centre, Madhavaram, No 47; Swamy Nagar Madhavaram; Chennai  60",13.1471925,80.2296915,266.1786095
S3-25-44,Sembiam Street,Tenable,25,39,94,3,"Sembiam Street, Ward 25, MADHAVARAM, Chennai, Tamil Nadu, India",13.141922,80.2056741,UPHC12,3,32,Lakshmipuram,"Urban Primary Health Centre, Lakshmipuram, 32; Gangai Amman Koil Street; Lakshmipuram; Chennai  99",13.1326884,80.21021,1483.815036
S3-25-25,Thanthai Periyar Street,Tenable,25,7,15,3,"Thanthai Periyar Street, Ward 25, MADHAVARAM, Chennai, Tamil Nadu, India",13.1478289,80.2044919,UPHC12,3,32,Lakshmipuram,"Urban Primary Health Centre, Lakshmipuram, 32; Gangai Amman Koil Street; Lakshmipuram; Chennai  99",13.1326884,80.21021,2191.837783
S3-31-58,Muthumariamman koil st,Tenable,31,62,237,3,"Muthumariamman koil st, Ward 31, MADHAVARAM, Chennai, Tamil Nadu, India",13.1390163,80.2356104,UPHC13,4,35,Kodungaiyur,"Urban Primary Health Centre, Kodungaiyur, No 15; Anna Salai; Kodungaiyur; Chennai  118",13.1349069,80.2436791,1366.957797
S4-47-114,Meenambal Nagar,Tenable,47,1087,4255,4,"Meenambal Nagar, Ward 47, TONDIAR PET, Chennai, Tamil Nadu, India",13.1181232,80.2779533,UPHC15,4,37,Vyasarpadi,"Urban Primary Health Centre, Vyasarpadi, No 155A; 14th Cross St; Mkb Nagar; Vyasarpadi; Chennai  39",13.115989,80.2719465,1082.632206
S4-43-88,New Amaranjipuram,Tenable,43,217,943,4,"New Amaranjipuram, Ward 43, TONDIAR PET, Chennai, Tamil Nadu, India",13.1237997,80.2927705,UPHC16,4,38,RKNagar N,"Urban Primary Health Centre, RKNagar N, No 140; Annai Sandhya Nagar; 1St Street; Tondaiyarpet; Chennai  81",13.1259316,80.2923985,340.5551966
S5-53-12,C.B.Road,Tenable,53,299,1346,5,"C.B.Road, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.1084888,80.2722277,UPHC17,4,47,Harinarayana Puram,"Urban Primary Health Centre, Harinarayana Puram, Old Glass Factory Road; Korukkupet; Chennai 21;",13.1106555,80.2738968,349.4244708
S5-53-5,Canal Street,Tenable,53,451,1829,5,"Canal Street, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.1089557,80.271529,UPHC17,4,47,Harinarayana Puram,"Urban Primary Health Centre, Harinarayana Puram, Old Glass Factory Road; Korukkupet; Chennai 21;",13.1106555,80.2738968,433.4982976
S5-53-11,Stanly Nagar,Tenable,53,675,2779,5,"Stanly Nagar, Ward 53, ROYAPURAM, Chennai, Tamil Nadu, India",13.1089835,80.2730763,UPHC17,4,47,Harinarayana Puram,"Urban Primary Health Centre, Harinarayana Puram, Old Glass Factory Road; Korukkupet; Chennai 21;",13.1106555,80.2738968,213.4334617
S4-47-125,Ambethkar nagar,Tenable,47,1127,4659,4,"Ambethkar nagar, Ward 47, TONDIAR PET, Chennai, Tamil Nadu, India",13.1139796,80.2742942,UPHC17,4,47,Harinarayana Puram,"Urban Primary Health Centre, Harinarayana Puram, Old Glass Factory Road; Korukkupet; Chennai 21;",13.1106555,80.2738968,472.0042709
S4-39-34,Desiya Nagar,Tenable,39,682,2693,4,"Desiya Nagar, Ward 39, TONDIAR PET, Chennai, Tamil Nadu, India",13.135416,80.293387,UPHC18,4,39,New Washermenpet,"Urban Primary Health Centre, New Washermenpet, No 4; Chriyan Nagar 4th St; New Washermenpet; Chennai  81",13.1398167,80.2977219,853.285369
S4-40-46,Sivagami Nagar,Tenable,40,329,1151,4,"Sivagami Nagar, Ward 40, TONDIAR PET, Chennai, Tamil Nadu, India",13.1367509,80.2924073,UPHC18,4,39,New Washermenpet,"Urban Primary Health Centre, New Washermenpet, No 4; Chriyan Nagar 4th St; New Washermenpet; Chennai  81",13.1398167,80.2977219,913.5610437
S4-40-37,Jeeva Nagar,Tenable,40,891,3362,4,"Jeeva Nagar, Ward 40, TONDIAR PET, Chennai, Tamil Nadu, India",13.1373315,80.2889243,UPHC18,4,39,New Washermenpet,"Urban Primary Health Centre, New Washermenpet, No 4; Chriyan Nagar 4th St; New Washermenpet; Chennai  81",13.1398167,80.2977219,1259.267685
S4-39-31,Cheriyan Nagar,Tenable,39,850,3304,4,"Cheriyan Nagar, Ward 39, TONDIAR PET, Chennai, Tamil Nadu, India",13.138163,80.297142,UPHC18,4,39,New Washermenpet,"Urban Primary Health Centre, New Washermenpet, No 4; Chriyan Nagar 4th St; New Washermenpet; Chennai  81",13.1398167,80.2977219,215.0166267
S4-39-32,Ashok Nagar,Tenable,39,468,1585,4,"Ashok Nagar, Ward 39, TONDIAR PET, Chennai, Tamil Nadu, India",13.138163,80.297142,UPHC18,4,39,New Washermenpet,"Urban Primary Health Centre, New Washermenpet, No 4; Chriyan Nagar 4th St; New Washermenpet; Chennai  81",13.1398167,80.2977219,215.0166267
S4-39-33,Dhanabal Nagar,Tenable,39,335,951,4,"Dhanabal Nagar, Ward 39, TONDIAR PET, Chennai, Tamil Nadu, India",13.138163,80.297142,UPHC18,4,39,New Washermenpet,"Urban Primary Health Centre, New Washermenpet, No 4; Chriyan Nagar 4th St; New Washermenpet; Chennai  81",13.1398167,80.2977219,215.0166267
S4-40-40,V.O.C Nagar,Tenable,40,377,1330,4,"V.O.C Nagar, Ward 40, TONDIAR PET, Chennai, Tamil Nadu, India",13.1316738,80.2883267,UPHC19,4,40,Voc Nagar,"Urban Primary Health Centre, Voc Nagar, No1; Chlliamman Koil St; Tondaiyarpet; Chennai  81",13.1262149,80.2922633,1042.574486
S4-40-38,Seniamman koil st,Tenable,40,419,1511,4,"Seniamman koil st, Ward 40, TONDIAR PET, Chennai, Tamil Nadu, India",13.1320109,80.2896323,UPHC19,4,40,Voc Nagar,"Urban Primary Health Centre, Voc Nagar, No1; Chlliamman Koil St; Tondaiyarpet; Chennai  81",13.1262149,80.2922633,940.6898111
S4-41-65,Moopanar Nagar,Tenable,41,521,1784,4,"Moopanar Nagar, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.1235131,80.2763873,UPHC20,4,41,Korukkupet,"Urban Primary Health Centre, Korukkupet, No15; Amman Koil St; Sivaji Nagar; Korukkupet; Chennai  21",13.1274481,80.2797992,778.480845
S4-41-60,Gopal Nagar,Tenable,41,240,974,4,"Gopal Nagar, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.125457,80.2763844,UPHC20,4,41,Korukkupet,"Urban Primary Health Centre, Korukkupet, No15; Amman Koil St; Sivaji Nagar; Korukkupet; Chennai  21",13.1274481,80.2797992,985.3714046
S4-41-73,Marimuthu Street,Tenable,41,195,535,4,"Marimuthu Street, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.125479,80.2779515,UPHC20,4,41,Korukkupet,"Urban Primary Health Centre, Korukkupet, No15; Amman Koil St; Sivaji Nagar; Korukkupet; Chennai  21",13.1274481,80.2797992,404.2971522
S4-41-64,Parthasarathy Street,Tenable,41,177,582,4,"Parthasarathy Street, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.125572,80.2791434,UPHC20,4,41,Korukkupet,"Urban Primary Health Centre, Korukkupet, No15; Amman Koil St; Sivaji Nagar; Korukkupet; Chennai  21",13.1274481,80.2797992,480.4478631
S4-41-72,Sivaji Nagar,Tenable,41,560,1800,4,"Sivaji Nagar, Ward 41, TONDIAR PET, Chennai, Tamil Nadu, India",13.1273832,80.2802162,UPHC20,4,41,Korukkupet,"Urban Primary Health Centre, Korukkupet, No15; Amman Koil St; Sivaji Nagar; Korukkupet; Chennai  21",13.1274481,80.2797992,54.36590609
